"Sample.ID","TA","Mass","Tank","Type"
"20180602_Conical_1",2189.054719,59.12,NA,NA
"20180602_Conical_2",2190.946593,60,NA,NA
"20180602_Conical_3",2182.973843,60.52,NA,NA
"20180602_Conical_4",2221.125825,59.59,NA,NA
"20180602_Conical_5",2189.730352,59.64,NA,NA
"20180602_Conical_6",2175.47269,60.6,NA,NA
"20180602_Conical_7",2191.544534,59.96,NA,NA
"20180602_Conical_8",2186.922133,59.57,NA,NA
"20180602_Conical_9",2189.061196,59.59,NA,NA
"20180604_Conical_1",2191.600723,59.54,NA,NA
"20180604_Conical_2",2193.820181,59.22,NA,NA
"20180604_Conical_3",2184.597065,59.54,NA,NA
"20180604_Conical_4",2185.943994,59.03,NA,NA
"20180604_Conical_5",2186.521975,59.86,NA,NA
"20180604_Conical_6",2187.764796,59.62,NA,NA
"20180604_Conical_7",2185.720676,59.57,NA,NA
"20180604_Conical_8",2185.370426,59.24,NA,NA
"20180604_Conical_9",2188.258217,59.71,NA,NA
"20180607_JUNK",2242.445944,59.76,"Junk","Junk"
"20180607_CRM1",2209.850412,59.96,"CRM","CRM"
"20180607_CRM2",2204.794417,59.45,"CRM","CRM"
"20180607_Tank12",2165.462065,59.45,"Tank12","Tank"
"20180607_Tank11",2165.360726,59.4,"Tank11","Tank"
"20180607_Tank14",2157.769415,59.12,"Tank14","Tank"
"20180607_Tank13",2156.763101,59.3,"Tank13","Tank"
"20180607_Tank15",2165.074975,59.04,"Tank15","Tank"
"20180607_Tank10",2154.017815,59.42,"Tank10","Tank"
"20180608_Tank14",2160.438241,59.75,"Tank14","Tank"
"20180608_Tank10",2137.255089,59.53,"Tank10","Tank"
"20180608_Tank11",2136.481169,59.84,"Tank11","Tank"
"20180608_Tank12",2134.619917,59.72,"Tank12","Tank"
"20180608_Tank13",2137.468568,59.33,"Tank13","Tank"
"20180608_Tank15",2137.585972,59.05,"Tank15","Tank"
"20180608_CRM3",2162.651964,59.32,"CRM3","CRM"
"20180608_CRM4",2154.442507,59.49,"CRM4","CRM"
"20180609_JUNK",2193.805381,59.48,"Junk","Junk"
"20180609_CRM1",2176.84752,59.63,"CRM1","CRM"
"20180609_CRM2",2171.585069,59.08,"CRM2","CRM"
"20180609_Tank11",2140.968875,59.84,"Tank11","Tank"
"20180609_Tank14",2135.255519,59.38,"Tank14","Tank"
"20180609_Tank10",2130.107113,59.96,"Tank10","Tank"
"20180609_Tank12",2130.660928,59.12,"Tank12","Tank"
"20180609_Tank15",2129.807573,59.24,"Tank15","Tank"
"20180609_Tank13",2132.935322,59.36,"Tank13","Tank"
"20180612_CRM1",2220.240434,59.87,"CRM1","CRM"
"20180612_CRM2",2215.46195,59.65,"CRM2","CRM"
"20180612_CRM3",2218.51826,60.23,"CRM3","CRM"
"20180612_CRM4",2215.175187,60.83,"CRM4","CRM"
"20180612_Conical2",2192.809967,59.63,"Conical2","Conical"
"20180612_Conical3",2191.457094,59.43,"Conical3","Conical"
"20180612_Conical1",2194.058093,59.94,"Conical1","Conical"
"20180612_Conical6",2190.154569,59.45,"Conical6","Conical"
"20180612_Conical5",2190.948807,59.77,"Conical5","Conical"
"20180612_Conical4",2193.242554,59.21,"Conical4","Conical"
"20180612_Conical9",2195.212174,59.34,"Conical9","Conical"
"20180612_Conical8",2192.659257,59.23,"Conical8","Conical"
"20180612_Conical7",2196.579609,59.08,"Conical7","Conical"
"20180613_Conical8",2409.41088979383,59.49,"Conical8","Conical"
"20180613_Conical7",2196.27563775072,59.81,"Conical7","Conical"
"20180613_Conical9",2192.08443347518,59.17,"Conical9","Conical"
"20180613_Conical4",2196.15373559096,59.64,"Conical4","Conical"
"20180613_Conical3",2201.08026382282,59.65,"Conical3","Conical"
"20180613_Conical6",2196.45499398557,59.37,"Conical6","Conical"
"20180613_Conical1",2220.27259711442,59.49,"Conical1","Conical"
"20180613_Conical5",2196.44591844095,59.96,"Conical5","Conical"
"20180613_Conical2",2200.39510953688,59.65,"Conical2","Conical"
"20180613_Tank11",2204.67166604034,59.27,"Tank11","Tank"
"20180613_Tank10",2220.74607553591,59.93,"Tank10","Tank"
"20180613_Tank13",2198.20303410921,59.9,"Tank13","Tank"
"20180613_Tank12",2440.87025402546,59.51,"Tank12","Tank"
"20180613_Tank14",2192.5949912,59.54,"Tank14","Tank"
"20180613_Tank15",2195.39032732168,59.89,"Tank15","Tank"
"20180614_CRM1",2263.53477759388,59.34,"CRM1","CRM"
"20180614_CRM2",2227.45030241248,59.08,"CRM2","CRM"
"20180614_CRM3",2229.00214842164,59.03,"CRM3","CRM"
"20180614_Conical1",2203.69017567091,59.36,"Conical1","Conical"
"20180614_Conical2",2236.33939382099,59.87,"Conical2","Conical"
"20180614_Conical3",2187.29111616695,59.84,"Conical3","Conical"
"20180614_Conical4",2187.93610332695,59.68,"Conical4","Conical"
"20180614_Conical5",2237.0653079047,59.38,"Conical5","Conical"
"20180614_Conical6",2208.00298364001,59.65,"Conical6","Conical"
"20180614_Conical7",2205.96382444458,59.37,"Conical7","Conical"
"20180614_Conical8",2203.2065088425,59.37,"Conical8","Conical"
"20180614_Conical9",2224.18788554575,59.09,"Conical9","Conical"
"20180614_Tank15",2210.62718453265,59.4,"Tank15","Tank"
"20180614_Tank10",2201.18827370471,59.65,"Tank10","Tank"
"20180614_Tank11",2222.53451029263,59.08,"Tank11","Tank"
"20180614_Tank13",2268.10908832842,59.37,"Tank13","Tank"
"20180614_Tank12",2196.93226623291,59.73,"Tank12","Tank"
"20180614_Tank14",2199.34807445776,59.24,"Tank14","Tank"
"20180615_JUNK",2233.47455473796,59.17,"JUNK","JUNK"
"20180615_CRM1",2217.65721039499,59.54,"CRM1","CRM"
"20180615_CRM2",2222.0166798724,59.92,"CRM2","CRM"
"20180615_Tank12",2214.26046953189,59.21,"Tank12","Tank"
"20180615_Tank15",2198.90366907334,59.4,"Tank15","Tank"
"20180615_Tank11",2200.58792291888,59.46,"Tank11","Tank"
"20180615_Tank13",2203.95405762735,59.44,"Tank13","Tank"
"20180615_Tank10",2202.731152614,59.92,"Tank10","Tank"
"20180615_Tank14",2202.51997553026,59.55,"Tank14","Tank"
"20180615_Conical16",2201.72426346002,59.57,"Conical16","Conical"
"20180615_Conical17",2198.72480618361,59.01,"Conical17","Conical"
